intersect_bp,jaccard,max_containment,f_query_match,f_match_query,match_filename,match_name,match_md5,match_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative
1000,0.00030039050765995795,0.0009881422924901185,0.0009881422924901185,0.0004314063848144953,/data/shared_data/KEGG_data/PartitionByKO/data/KOs/ko:K00003.faa,ko:K00003,655c4541,1012000,demo/metagenome_example.fastq,,6d955908,2334500,11,protein,1000,4669,False,0.49440243053595045,0.5330915168394533,0.5137469736877018,0.5330915168394533,True
1000,0.0003022974607013301,0.0010090817356205853,0.0010090817356205853,0.0004314063848144953,/data/shared_data/KEGG_data/PartitionByKO/data/KOs/ko:K00088.faa,ko:K00088,b37063d7,991000,demo/metagenome_example.fastq,,6d955908,2334500,11,protein,1000,4669,False,0.49440243053595045,0.5341087191891187,0.5142555748625346,0.5341087191891187,True
1000,0.0003179650238473768,0.0012077294685990338,0.0012077294685990338,0.0004314063848144953,/data/shared_data/KEGG_data/PartitionByKO/data/KOs/ko:K00099.faa,ko:K00099,dd11da41,828000,demo/metagenome_example.fastq,,6d955908,2334500,11,protein,1000,4669,False,0.49440243053595045,0.5429058418522343,0.5186541361940924,0.5429058418522343,True
1000,0.000357653791130186,0.0020876826722338203,0.0020876826722338203,0.0004314063848144953,/data/shared_data/KEGG_data/PartitionByKO/data/KOs/ko:K00101.faa,ko:K00101,49878916,479000,demo/metagenome_example.fastq,,6d955908,2334500,11,protein,1000,4669,False,0.49440243053595045,0.5706017971240877,0.532502113830019,0.5706017971240877,True
1000,0.0002838489923360772,0.0008291873963515755,0.0008291873963515755,0.0004314063848144953,/data/shared_data/KEGG_data/PartitionByKO/data/KOs/ko:K00164.faa,ko:K00164,1bb4ddac,1206000,demo/metagenome_example.fastq,,6d955908,2334500,11,protein,1000,4669,False,0.49440243053595045,0.5246594715382036,0.509530951037077,0.5246594715382036,True
1000,0.0003355704697986577,0.0015082956259426848,0.0015082956259426848,0.0004314063848144953,/data/shared_data/KEGG_data/PartitionByKO/data/KOs/ko:K00231.faa,ko:K00231,53bdbaf7,663000,demo/metagenome_example.fastq,,6d955908,2334500,11,protein,1000,4669,False,0.49440243053595045,0.553985975133548,0.5241942028347493,0.553985975133548,True
1000,0.00039032006245121,0.004081632653061225,0.004081632653061225,0.0004314063848144953,/data/shared_data/KEGG_data/PartitionByKO/data/KOs/ko:K00263.faa,ko:K00263,3858d3b3,245000,demo/metagenome_example.fastq,,6d955908,2334500,11,protein,1000,4669,False,0.49440243053595045,0.6064612870191615,0.550431858777556,0.6064612870191615,True
1000,0.0002973535533749628,0.0009560229445506692,0.0009560229445506692,0.0004314063848144953,/data/shared_data/KEGG_data/PartitionByKO/data/KOs/ko:K00281.faa,ko:K00281,32da3b7a,1046000,demo/metagenome_example.fastq,,6d955908,2334500,11,protein,1000,4669,False,0.49440243053595045,0.5314924744276844,0.5129474524818174,0.5314924744276844,True
1000,0.0003728560775540641,0.0027397260273972603,0.0027397260273972603,0.0004314063848144953,/data/shared_data/KEGG_data/PartitionByKO/data/KOs/ko:K00282.faa,ko:K00282,0ab2bfed,365000,demo/metagenome_example.fastq,,6d955908,2334500,11,protein,1000,4669,False,0.49440243053595045,0.5848766522301214,0.5396395413830359,0.5848766522301214,True
1000,0.00037105751391465676,0.0026455026455026454,0.0026455026455026454,0.0004314063848144953,/data/shared_data/KEGG_data/PartitionByKO/data/KOs/ko:K00333.faa,ko:K00333,8c0e2f3a,378000,demo/metagenome_example.fastq,,6d955908,2334500,11,protein,1000,4669,False,0.49440243053595045,0.5830188059397176,0.5387106182378341,0.5830188059397176,True
